t = 0.000000, L = 0.060000, A = 0.000260
t = 8.000000, L = 0.061502, A = 0.000267
t = 16.000000, L = 0.063365, A = 0.000273
t = 24.000000, L = 0.065752, A = 0.000280
t = 32.000000, L = 0.068734, A = 0.000287
t = 40.000000, L = 0.072169, A = 0.000293
t = 48.000000, L = 0.075823, A = 0.000300
t = 56.000000, L = 0.079547, A = 0.000307
t = 64.000000, L = 0.083301, A = 0.000314
t = 72.000000, L = 0.087099, A = 0.000320
t = 80.000000, L = 0.090971, A = 0.000327
t = 88.000000, L = 0.094942, A = 0.000334
t = 96.000000, L = 0.099014, A = 0.000340
t = 104.000000, L = 0.103154, A = 0.000347
t = 112.000000, L = 0.107311, A = 0.000354
t = 120.000000, L = 0.111440, A = 0.000361
t = 128.000000, L = 0.115502, A = 0.000367
t = 136.000000, L = 0.119486, A = 0.000374
t = 144.000000, L = 0.123395, A = 0.000381
t = 152.000000, L = 0.127237, A = 0.000388
t = 160.000000, L = 0.131028, A = 0.000394
t = 168.000000, L = 0.134790, A = 0.000401
t = 176.000000, L = 0.138540, A = 0.000408
t = 184.000000, L = 0.142291, A = 0.000414
t = 192.000000, L = 0.146053, A = 0.000421
t = 200.000000, L = 0.149831, A = 0.000428
t = 208.000000, L = 0.153623, A = 0.000435
t = 216.000000, L = 0.157423, A = 0.000441
t = 224.000000, L = 0.161218, A = 0.000448
t = 232.000000, L = 0.164989, A = 0.000455
t = 240.000000, L = 0.168726, A = 0.000461
t = 248.000000, L = 0.172418, A = 0.000468
t = 256.000000, L = 0.176053, A = 0.000475
t = 264.000000, L = 0.179629, A = 0.000482
t = 272.000000, L = 0.183142, A = 0.000488
t = 280.000000, L = 0.186592, A = 0.000495
t = 288.000000, L = 0.189982, A = 0.000502
t = 296.000000, L = 0.193314, A = 0.000508
t = 304.000000, L = 0.196594, A = 0.000515
t = 312.000000, L = 0.199826, A = 0.000522
t = 320.000000, L = 0.203016, A = 0.000529
t = 328.000000, L = 0.206177, A = 0.000535
t = 336.000000, L = 0.209318, A = 0.000542
t = 344.000000, L = 0.212447, A = 0.000549
t = 352.000000, L = 0.215570, A = 0.000556
t = 360.000000, L = 0.218688, A = 0.000562
t = 368.000000, L = 0.221804, A = 0.000569
t = 376.000000, L = 0.224923, A = 0.000576
t = 384.000000, L = 0.228048, A = 0.000582
t = 392.000000, L = 0.231186, A = 0.000589
t = 400.000000, L = 0.234342, A = 0.000596
t = 408.000000, L = 0.237525, A = 0.000603
t = 416.000000, L = 0.240737, A = 0.000609
t = 424.000000, L = 0.243976, A = 0.000616
t = 432.000000, L = 0.247236, A = 0.000623
t = 440.000000, L = 0.250507, A = 0.000629
t = 448.000000, L = 0.253776, A = 0.000636
t = 456.000000, L = 0.257031, A = 0.000643
t = 464.000000, L = 0.260263, A = 0.000650
t = 472.000000, L = 0.263465, A = 0.000656
t = 480.000000, L = 0.266639, A = 0.000663
t = 488.000000, L = 0.269792, A = 0.000670
t = 496.000000, L = 0.272924, A = 0.000677
t = 504.000000, L = 0.276041, A = 0.000683
t = 512.000000, L = 0.279142, A = 0.000690
t = 520.000000, L = 0.282225, A = 0.000697
t = 528.000000, L = 0.285282, A = 0.000703
t = 536.000000, L = 0.288303, A = 0.000710
t = 544.000000, L = 0.291279, A = 0.000717
t = 552.000000, L = 0.294201, A = 0.000724
t = 560.000000, L = 0.297066, A = 0.000730
t = 568.000000, L = 0.299874, A = 0.000737
t = 576.000000, L = 0.302628, A = 0.000744
t = 584.000000, L = 0.305338, A = 0.000750
t = 592.000000, L = 0.308012, A = 0.000757
t = 600.000000, L = 0.310661, A = 0.000764
t = 608.000000, L = 0.313294, A = 0.000771
t = 616.000000, L = 0.315920, A = 0.000777
t = 624.000000, L = 0.318544, A = 0.000784
t = 632.000000, L = 0.321165, A = 0.000791
t = 640.000000, L = 0.323780, A = 0.000798
t = 648.000000, L = 0.326383, A = 0.000804
t = 656.000000, L = 0.328970, A = 0.000811
t = 664.000000, L = 0.331535, A = 0.000818
t = 672.000000, L = 0.334076, A = 0.000824
t = 680.000000, L = 0.336586, A = 0.000831
t = 688.000000, L = 0.339060, A = 0.000838
t = 696.000000, L = 0.341496, A = 0.000845
t = 704.000000, L = 0.343895, A = 0.000851
t = 712.000000, L = 0.346263, A = 0.000858
t = 720.000000, L = 0.348607, A = 0.000865
t = 728.000000, L = 0.350939, A = 0.000871
t = 736.000000, L = 0.353271, A = 0.000878
t = 744.000000, L = 0.355617, A = 0.000885
t = 752.000000, L = 0.357994, A = 0.000892
t = 760.000000, L = 0.360422, A = 0.000898
t = 768.000000, L = 0.362972, A = 0.000905
t = 776.000000, L = 0.365401, A = 0.000912
t = 784.000000, L = 0.368379, A = 0.000919
t = 792.000000, L = 0.375347, A = 0.000926
t = 800.000000, L = 0.377857, A = 0.000932
t = 808.000000, L = 0.380869, A = 0.000939
t = 816.000000, L = 0.383452, A = 0.000946
t = 824.000000, L = 0.385891, A = 0.000953
t = 832.000000, L = 0.388312, A = 0.000959
t = 840.000000, L = 0.390869, A = 0.000966
t = 848.000000, L = 0.393693, A = 0.000973
t = 856.000000, L = 0.396605, A = 0.000979
t = 864.000000, L = 0.399118, A = 0.000986
t = 872.000000, L = 0.401688, A = 0.000993
t = 880.000000, L = 0.404288, A = 0.001000
